method,rows,success,ci95_success,safety_violation,ci95_safety_violation,damage,ci95_damage,fault_f1,ci95_fault_f1,interaction_f1,ci95_interaction_f1,missed_fault,ci95_missed_fault,false_isolation,ci95_false_isolation,recovery_latency,ci95_recovery_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
bayesian_sensor_fusion_monitor,10,0.60677,0.00888,0.21406,0.00839,0.12083,0.00480,0.48793,0.00636,0.42248,0.00975,0.22804,0.00806,0.10938,0.00804,0.68351,0.00025,0.03782,0.00011,0.28355,0.00020,0.05099,0.01165
causal_sensor_graph_monitor,10,0.62700,0.00851,0.20790,0.00715,0.11536,0.00421,0.47569,0.01393,0.51050,0.00543,0.20981,0.00735,0.09358,0.00911,0.63786,0.00032,0.04626,0.00010,0.25550,0.00024,0.09729,0.00925
conformal_sensor_reliability_filter,10,0.53941,0.01076,0.19358,0.01116,0.11563,0.00330,0.40833,0.01196,0.29766,0.00869,0.26432,0.00681,0.07127,0.00480,0.76741,0.00017,0.01314,0.00006,0.34077,0.00013,-0.00925,0.01450
ensemble_uncertainty_gating,10,0.52439,0.00873,0.23108,0.00338,0.14167,0.00626,0.38646,0.00826,0.29332,0.01026,0.30139,0.00889,0.12509,0.00592,0.75908,0.00025,0.08140,0.00007,0.35476,0.00022,-0.10952,0.00829
independent_fault_detectors,10,0.51372,0.00782,0.25946,0.00858,0.16128,0.00388,0.44097,0.01227,0.23125,0.00322,0.27648,0.01083,0.13776,0.00649,0.80769,0.00033,0.10748,0.00006,0.36760,0.00026,-0.16759,0.01512
learned_latent_failure_classifier,10,0.61814,0.00794,0.22231,0.00668,0.13247,0.00814,0.49010,0.00783,0.47778,0.00910,0.21207,0.00689,0.10087,0.00439,0.66649,0.00034,0.05936,0.00006,0.26633,0.00019,0.05014,0.01213
multimodal_mixture_of_experts_router,10,0.63472,0.00837,0.21181,0.00654,0.11293,0.00305,0.49219,0.01225,0.46163,0.01203,0.22717,0.00376,0.10078,0.00621,0.63824,0.00027,0.05634,0.00006,0.25693,0.00018,0.09408,0.01301
nominal_multimodal_policy,10,0.34193,0.00858,0.31285,0.01060,0.20894,0.00717,0.16059,0.00468,0.07587,0.00386,0.45052,0.00978,0.20113,0.00648,0.94101,0.00022,0.15343,0.00007,0.55002,0.00029,-0.52292,0.01755
oracle_failure_aware_policy,10,0.88273,0.00493,0.12023,0.00397,0.04627,0.00328,0.68203,0.00536,0.77005,0.00775,0.04123,0.00223,0.00269,0.00086,0.36941,0.00024,0.00200,0.00000,0.00000,0.00000,0.62899,0.00727
proposed_sensor_failure_composition_v4,10,0.69948,0.00846,0.18047,0.00698,0.09010,0.00461,0.53889,0.01038,0.55998,0.00496,0.16233,0.00519,0.06502,0.00488,0.54673,0.00021,0.02757,0.00011,0.19285,0.00021,0.25851,0.00869
risk_aware_sensor_reconfiguration,10,0.65382,0.00747,0.18177,0.00538,0.08845,0.00621,0.49089,0.01073,0.46285,0.00966,0.20608,0.00496,0.08594,0.00529,0.59342,0.00035,0.02452,0.00007,0.23506,0.00022,0.18443,0.01044
risk_calibrated_sensor_composition_v5,10,0.79262,0.01063,0.13785,0.00690,0.05868,0.00473,0.60017,0.00612,0.68394,0.00685,0.09913,0.00613,0.00530,0.00120,0.44258,0.00023,0.00206,0.00001,0.08714,0.00022,0.47673,0.01014
robust_single_worst_sensor_policy,10,0.52899,0.01012,0.20608,0.00506,0.11415,0.00697,0.43568,0.00795,0.26406,0.00879,0.29809,0.00698,0.14097,0.00886,0.76646,0.00024,0.09033,0.00007,0.35665,0.00027,-0.06505,0.01310
sensor_dropout_augmentation,10,0.44852,0.00893,0.28247,0.00748,0.18073,0.00918,0.30972,0.01201,0.17309,0.00495,0.38498,0.01042,0.17274,0.00823,0.85042,0.00018,0.12313,0.00007,0.44577,0.00023,-0.32088,0.01870
sensor_dropout_transformer_policy,10,0.59002,0.00604,0.22795,0.00995,0.12014,0.00898,0.48993,0.01206,0.40816,0.00787,0.24974,0.00629,0.10833,0.00657,0.68255,0.00026,0.06937,0.00006,0.28598,0.00022,0.00851,0.01375
